date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:48:18	796/796	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2024%20May%202024%2015:48:11%20GMT	https://demoapus1.com/robots.txt		(from )
22:48:18	405462/405462	---M-Z	200	added ('OK')	text/html	etag:%22a14c-6650ad4a-0;gz%22	https://demoapus1.com/boxcar/	C:/My%20Web%20Sites/bestwweb/demoapus1.com/boxcar/index.html	(from )
22:48:19	113381/113381	---M-Z	200	added ('OK')	text/css	date:Tue,%2002%20Apr%202024%2018:49:03%20GMT	https://demoapus1.com/boxcar/wp-includes/css/dist/block-library/style.min.css?ver=6.5.3	C:/My%20Web%20Sites/bestwweb/demoapus1.com/boxcar/wp-includes/css/dist/block-library/style.minef10.css	(from https://demoapus1.com/boxcar/)
22:48:20	39643/39643	---MC-	200	added ('OK')	application/rss+xml	etag:%22a45f0dfb84aed101072bb0fe172f3951%22	https://demoapus1.com/boxcar/feed/	C:/My%20Web%20Sites/bestwweb/demoapus1.com/boxcar/feed/index.html	(from https://demoapus1.com/boxcar/)
22:48:20	6621/6621	---M--	200	added ('OK')	application/rss+xml	etag:%22d0606333a89a8802d8444c0d265f8b4a%22	https://demoapus1.com/boxcar/comments/feed/	C:/My%20Web%20Sites/bestwweb/demoapus1.com/boxcar/comments/feed/index.html	(from https://demoapus1.com/boxcar/)
22:48:20	2894/2894	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Dec%202023%2007:09:12%20GMT	https://demoapus1.com/boxcar/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.8.3	C:/My%20Web%20Sites/bestwweb/demoapus1.com/boxcar/wp-content/plugins/contact-form-7/includes/css/stylesc8d8.css	(from https://demoapus1.com/boxcar/)
22:48:20	17572/17572	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Dec%202023%2007:09:15%20GMT	https://demoapus1.com/boxcar/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=8.3.1	C:/My%20Web%20Sites/bestwweb/demoapus1.com/boxcar/wp-content/plugins/woocommerce/assets/css/woocommerce-layouted84.css	(from https://demoapus1.com/boxcar/)
22:48:20	7043/7043	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Dec%202023%2007:09:15%20GMT	https://demoapus1.com/boxcar/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=8.3.1	C:/My%20Web%20Sites/bestwweb/demoapus1.com/boxcar/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreened84.css	(from https://demoapus1.com/boxcar/)
22:48:21	74669/74669	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Dec%202023%2007:09:15%20GMT	https://demoapus1.com/boxcar/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=8.3.1	C:/My%20Web%20Sites/bestwweb/demoapus1.com/boxcar/wp-content/plugins/woocommerce/assets/css/woocommerceed84.css	(from https://demoapus1.com/boxcar/)
22:48:21	7302/7302	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Dec%202023%2007:09:25%20GMT	https://demoapus1.com/boxcar/wp-content/plugins/wp-cardealer/assets/js/magnific/magnific-popup.css?ver=1.1.0	C:/My%20Web%20Sites/bestwweb/demoapus1.com/boxcar/wp-content/plugins/wp-cardealer/assets/js/magnific/magnific-popupf488.css	(from https://demoapus1.com/boxcar/)
22:48:21	4689/4689	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Dec%202023%2007:09:26%20GMT	https://demoapus1.com/boxcar/wp-content/plugins/wp-private-message/assets/css/perfect-scrollbar.css?ver=6.5.3	C:/My%20Web%20Sites/bestwweb/demoapus1.com/boxcar/wp-content/plugins/wp-private-message/assets/css/perfect-scrollbaref10.css	(from https://demoapus1.com/boxcar/)
22:48:22	14268/14268	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Dec%202023%2007:09:25%20GMT	https://demoapus1.com/boxcar/wp-content/plugins/wp-cardealer/assets/js/leaflet/leaflet.css?ver=1.5.1	C:/My%20Web%20Sites/bestwweb/demoapus1.com/boxcar/wp-content/plugins/wp-cardealer/assets/js/leaflet/leafletcc1a.css	(from https://demoapus1.com/boxcar/)
22:48:22	19533/19533	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Dec%202023%2007:09:14%20GMT	https://demoapus1.com/boxcar/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.23.0	C:/My%20Web%20Sites/bestwweb/demoapus1.com/boxcar/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min192d.css	(from https://demoapus1.com/boxcar/)
22:48:22	117332/117332	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Dec%202023%2007:09:13%20GMT	https://demoapus1.com/boxcar/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.17.3	C:/My%20Web%20Sites/bestwweb/demoapus1.com/boxcar/wp-content/plugins/elementor/assets/css/frontend-lite.min8864.css	(from https://demoapus1.com/boxcar/)
22:48:23	16471/16471	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Dec%202023%2007:09:14%20GMT	https://demoapus1.com/boxcar/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/My%20Web%20Sites/bestwweb/demoapus1.com/boxcar/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://demoapus1.com/boxcar/)
22:48:23	1285/1285	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Dec%202023%2008:34:21%20GMT	https://demoapus1.com/boxcar/wp-content/uploads/elementor/css/post-7.css?ver=1701765261	C:/My%20Web%20Sites/bestwweb/demoapus1.com/boxcar/wp-content/uploads/elementor/css/post-78891.css	(from https://demoapus1.com/boxcar/)
22:48:23	50261/50261	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Dec%202023%2008:34:21%20GMT	https://demoapus1.com/boxcar/wp-content/uploads/elementor/css/post-24.css?ver=1701765261	C:/My%20Web%20Sites/bestwweb/demoapus1.com/boxcar/wp-content/uploads/elementor/css/post-248891.css	(from https://demoapus1.com/boxcar/)
22:48:23	152996/152996	---M-Z	200	added ('OK')	text/css	date:Wed,%2028%20Feb%202024%2009:41:24%20GMT	https://demoapus1.com/boxcar/wp-content/themes/boxcar/css/woocommerce.css?ver=1.0	C:/My%20Web%20Sites/bestwweb/demoapus1.com/boxcar/wp-content/themes/boxcar/css/woocommerce5152.css	(from https://demoapus1.com/boxcar/)
22:48:24	70468/70468	---M-Z	200	added ('OK')	text/css	date:Wed,%2028%20Feb%202024%2009:41:24%20GMT	https://demoapus1.com/boxcar/wp-content/themes/boxcar/css/all-awesome.css?ver=5.11.2	C:/My%20Web%20Sites/bestwweb/demoapus1.com/boxcar/wp-content/themes/boxcar/css/all-awesomeaec5.css	(from https://demoapus1.com/boxcar/)
22:48:24	3701/3701	---M-Z	200	added ('OK')	text/css	date:Wed,%2028%20Feb%202024%2009:41:24%20GMT	https://demoapus1.com/boxcar/wp-content/themes/boxcar/css/flaticon.css?ver=1.0.0	C:/My%20Web%20Sites/bestwweb/demoapus1.com/boxcar/wp-content/themes/boxcar/css/flaticon8a54.css	(from https://demoapus1.com/boxcar/)
22:48:24	16396/16396	---M-Z	200	added ('OK')	text/css	date:Wed,%2028%20Feb%202024%2009:41:24%20GMT	https://demoapus1.com/boxcar/wp-content/themes/boxcar/css/themify-icons.css?ver=1.0.0	C:/My%20Web%20Sites/bestwweb/demoapus1.com/boxcar/wp-content/themes/boxcar/css/themify-icons8a54.css	(from https://demoapus1.com/boxcar/)
22:48:25	79522/79522	---M-Z	200	added ('OK')	text/css	date:Wed,%2028%20Feb%202024%2009:41:24%20GMT	https://demoapus1.com/boxcar/wp-content/themes/boxcar/css/animate.css?ver=3.6.0	C:/My%20Web%20Sites/bestwweb/demoapus1.com/boxcar/wp-content/themes/boxcar/css/animateaf6c.css	(from https://demoapus1.com/boxcar/)
22:48:25	192127/192127	---M-Z	200	added ('OK')	text/css	date:Wed,%2028%20Feb%202024%2009:41:24%20GMT	https://demoapus1.com/boxcar/wp-content/themes/boxcar/css/bootstrap.css?ver=3.2.0	C:/My%20Web%20Sites/bestwweb/demoapus1.com/boxcar/wp-content/themes/boxcar/css/bootstrap55a0.css	(from https://demoapus1.com/boxcar/)
22:48:26	1776/1776	---M-Z	200	added ('OK')	text/css	date:Wed,%2028%20Feb%202024%2009:41:24%20GMT	https://demoapus1.com/boxcar/wp-content/themes/boxcar/css/slick.css?ver=1.8.0	C:/My%20Web%20Sites/bestwweb/demoapus1.com/boxcar/wp-content/themes/boxcar/css/slickee8b.css	(from https://demoapus1.com/boxcar/)
22:48:26	6951/6951	---M-Z	200	added ('OK')	text/css	date:Wed,%2028%20Feb%202024%2009:41:24%20GMT	https://demoapus1.com/boxcar/wp-content/themes/boxcar/css/magnific-popup.css?ver=1.1.0	C:/My%20Web%20Sites/bestwweb/demoapus1.com/boxcar/wp-content/themes/boxcar/css/magnific-popupf488.css	(from https://demoapus1.com/boxcar/)
22:48:26	2598/2598	---M-Z	200	added ('OK')	text/css	date:Wed,%2028%20Feb%202024%2009:41:24%20GMT	https://demoapus1.com/boxcar/wp-content/themes/boxcar/css/perfect-scrollbar.css?ver=0.6.12	C:/My%20Web%20Sites/bestwweb/demoapus1.com/boxcar/wp-content/themes/boxcar/css/perfect-scrollbard0c7.css	(from https://demoapus1.com/boxcar/)
22:48:26	1574/1574	---M-Z	200	added ('OK')	text/css	date:Wed,%2028%20Feb%202024%2009:41:24%20GMT	https://demoapus1.com/boxcar/wp-content/themes/boxcar/css/sliding-menu.min.css?ver=0.3.0	C:/My%20Web%20Sites/bestwweb/demoapus1.com/boxcar/wp-content/themes/boxcar/css/sliding-menu.min9d8e.css	(from https://demoapus1.com/boxcar/)
22:48:27	4203/4203	---M-Z	200	added ('OK')	text/css	date:Wed,%2028%20Feb%202024%2009:41:24%20GMT	https://demoapus1.com/boxcar/wp-content/themes/boxcar/style.css?ver=1.0	C:/My%20Web%20Sites/bestwweb/demoapus1.com/boxcar/wp-content/themes/boxcar/style5152.css	(from https://demoapus1.com/boxcar/)
22:48:27	409276/409276	---M-Z	200	added ('OK')	text/css	date:Wed,%2028%20Feb%202024%2009:41:24%20GMT	https://demoapus1.com/boxcar/wp-content/themes/boxcar/css/template.css?ver=1.0	C:/My%20Web%20Sites/bestwweb/demoapus1.com/boxcar/wp-content/themes/boxcar/css/template5152.css	(from https://demoapus1.com/boxcar/)
22:48:28	87553/87553	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2005%20Dec%202023%2007:09:31%20GMT	https://demoapus1.com/boxcar/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/bestwweb/demoapus1.com/boxcar/wp-includes/js/jquery/jquery.minf43b.js	(from https://demoapus1.com/boxcar/)
22:48:28	13577/13577	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2005%20Dec%202023%2007:09:31%20GMT	https://demoapus1.com/boxcar/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/bestwweb/demoapus1.com/boxcar/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://demoapus1.com/boxcar/)
